fid,Project Na,ProjectID,Registry N,Methodolog,Project Ty,Country,Project De,Project St,Project En,Date of En,Processing,PD Decline,Geometry T,Project Ar,Project Ac,Project Re
135,The Jaguar Amazon REDD+ Project,VCS2278,Verra,VM0006,AD,Peru,Greenoxx Sociedad Civil,01/01/2018,12/31/2041,07/28/2023,Official,N/A,Polygon,"MULTIPOLYGON (((-69.669423 -11.381476, -69.66986 -11.380961, -69.670544 -11.378808, -69.671109 -11.378109, -69.673438 -11.377192, -69.675584 -11.376836, -69.676864 -11.374975, -69.680128 -11.372895, -69.68174 -11.370992, -69.682555 -11.370611, -69.683468",,
136,Yacumama Forest Carbon Project,VCS1133,Verra,VM0007,AD,Peru,Yacumama,01/01/2012,12/31/2041,08/14/2023,Georeferenced,Yes,Polygon,"MULTIPOLYGON (((-73.385292 -4.570853, -73.365206 -4.611468, -73.375692 -4.616489, -73.376431 -4.616711, -73.377095 -4.616784, -73.377317 -4.617671, -73.377095 -4.618926, -73.376357 -4.619221, -73.375101 -4.619, -73.37488 -4.619517, -73.375692 -4.619812,","MULTIPOLYGON (((-73.442227 -4.570853, -73.434293 -4.570853, -73.434206 -4.571288, -73.433742 -4.571491, -73.433393 -4.571491, -73.433451 -4.570881, -73.434271 -4.570853, -73.385292 -4.570853, -73.365206 -4.611468, -73.375692 -4.616489, -73.376431 -4.6167",
137,Bosques del Uruguay 2 (BDU 2) Afforestation through High Quality Timber in Grasslands Project,VCS2411,Verra,AR-ACM0003,ARR,Uruguay,Agroempresa Forestal S.A. (AF),03/25/2016,03/24/2076,10/20/2023,Official,No,Polygon,"MULTIPOLYGON (((-54.900805 -33.516074, -54.900845 -33.516233, -54.900878 -33.516369, -54.900914 -33.516358, -54.900935 -33.516352, -54.900941 -33.516367, -54.900958 -33.516419, -54.900967 -33.516463, -54.900976 -33.516503, -54.901009 -33.516496, -54.9010",,
138,Bosques del Uruguay Afforestation through High Quality Timber in Grasslands Project,VCS1543,Verra,AR-ACM0003,ARR,Uruguay,Agroempresa Forestal S.A. (AF),05/30/2012,05/29/2072,10/26/2023,Official,N/A,Polygon,"MULTIPOLYGON (((-55.500233 -33.761122, -55.500109 -33.761174, -55.500206 -33.761383, -55.500244 -33.761465, -55.501838 -33.764429, -55.503629 -33.767761, -55.503638 -33.767778, -55.503935 -33.768332, -55.503971 -33.768398, -55.504135 -33.768704, -55.5042",,
139,El Arriero afforestation on degraded grasslands under extensive grazing,VCS961,Verra,AR-ACM0001,ARR,Uruguay,Forestal El Arriero SRL,04/30/2009,04/29/2109,08/09/2023,Georeferenced,Yes,Polygon,"MULTIPOLYGON (((-54.650281 -33.387295, -54.650179 -33.387164, -54.649581 -33.387039, -54.64774 -33.386584, -54.645065 -33.385834, -54.641195 -33.384774, -54.640077 -33.384459, -54.639511 -33.385753, -54.639299 -33.386293, -54.639031 -33.386871, -54.63881",,
140,Forteko afforestation on degraded grasslands under extensive grazing,VCS962,Verra,AR-ACM0001,ARR,Uruguay,Forestal Tekoayhu,07/31/2007,07/30/2107,08/09/2023,Official,N/A,Polygon,"MULTIPOLYGON (((-55.288601 -32.829159, -55.288708 -32.829192, -55.288831 -32.829252, -55.288832 -32.829356, -55.288806 -32.82946, -55.288878 -32.829537, -55.289155 -32.829536, -55.28921 -32.829447, -55.289341 -32.829399, -55.289481 -32.829379, -55.289586",,
141,Guanaré Forest Plantation,VCS959,Verra,AR-ACM0001,ARR,Uruguay,Guanaré SA,04/24/2006,04/24/2066,07/13/2023,Official,N/A,Polygon,"MULTIPOLYGON Z (((-54.57629 -33.1251 0, -54.577245 -33.134832 0, -54.580045 -33.13689 0, -54.580791 -33.138697 0, -54.594436 -33.138108 0, -54.599212 -33.115041 0, -54.593711 -33.114916 0, -54.586499 -33.114752 0, -54.586808 -33.111116 0, -54.586992 -33.",,
142,HG Afforestation Through High Quality Timber Over Degraded Grasslands,VCS2992,Verra,AR-ACM0003,ARR,Uruguay,Pike Carbosur S.A.,10/08/2020,10/08/2120,05/02/2024,Official,N/A,Polygon,"MULTIPOLYGON Z (((-54.534713 -33.107342 0, -54.53432 -33.110941 0, -54.534209 -33.111364 0, -54.533793 -33.112787 0, -54.53355 -33.113595 0, -54.534756 -33.113516 0, -54.534686 -33.112939 0, -54.535281 -33.112884 0, -54.539506 -33.112447 0, -54.540172 -3",,
143,ITAA afforestation on degraded grasslands under extensive grazing,VCS965,Verra,AR-ACM0001,ARR,Uruguay,Intercontinental Timber Asociación Agraria de Responsabilidad Limitada,12/19/2007,12/18/2107,08/09/2023,Official,N/A,Polygon,"MULTIPOLYGON Z (((-55.235541 -34.738082 0, -55.235528 -34.738057 0, -55.235433 -34.738027 0, -55.235338 -34.738 0, -55.23519 -34.737991 0, -55.235143 -34.737969 0, -55.235037 -34.737834 0, -55.234972 -34.737812 0, -55.23492 -34.737836 0, -55.234889 -34.7",,
144,Iberpapel silvipastural system on degraded land,VCS920,Verra,AR-ACM0001,ARR,Uruguay,Los Eucaliptus S.A.,09/10/2004,09/09/2064,08/11/2023,Georeferenced,Yes,Polygon,"MULTIPOLYGON (((-55.563326 -34.695514, -55.56782 -34.695008, -55.565098 -34.68678, -55.562061 -34.688109, -55.559212 -34.687982, -55.549529 -34.690261, -55.551554 -34.692603, -55.555288 -34.695767, -55.556364 -34.696463, -55.556491 -34.69735, -55.556428",,
145,Lumin/Eucapine Uruguay Forest Plantations on degraded grasslands under extensive grazing,VCS960,Verra,AR-ACM0001,ARR,Uruguay,Weyerhaeuser Uruguay,02/22/2006,02/21/2106,08/09/2023,Official,N/A,Polygon,"MULTIPOLYGON Z (((-54.675565 -33.260136 0, -54.673772 -33.222189 0, -54.655762 -33.225123 0, -54.658321 -33.236548 0, -54.659698 -33.241898 0, -54.659284 -33.246844 0, -54.656798 -33.254692 0, -54.648743 -33.253291 0, -54.646237 -33.258935 0, -54.64812 -",,
146,Montes del Este Afforestation Through High Quality Timber in Degraded Grasslands,VCS2576,Verra,AR-ACM0003,ARR,Uruguay,Fideicomiso Financiero Forestal Montes del Este,10/30/2016,10/29/2076,05/01/2024,Official,N/A,Polygon,"MULTIPOLYGON Z (((-54.845274 -32.786825 0, -54.845445 -32.786819 0, -54.845595 -32.786776 0, -54.845825 -32.786748 0, -54.845863 -32.786736 0, -54.846121 -32.786677 0, -54.846303 -32.786644 0, -54.846495 -32.78662 0, -54.846496 -32.78662 0, -54.846572 -3",,
